sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,brand,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,filter_includes,filter_line,filter_media_type,filter_type,gallery,gift_message_available,has_options,horsepower,image,image_label,ladder_type,liner_print,liner_thickness,liner_type,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,number_of_sections,options_container,page_layout,pipe_size,pool_model,pool_size,pool_wall_height,price,required_options,short_description,size,sku2,sku3,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,warranty,weight,weight_limit,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
AG-PP-3324-R1252LTUWC10171ECW,,Swimming Pool Package,simple,Swimming Pools/Above Ground Pool Packages,swimming-pool,base,,,,United States,2015-06-25 22:34:31,,,,,"<div id=""tab-mon1"" class=""tab-box"" style=""opacity: 1; display: block;"">
<p><strong>Montego</strong> is our heavy duty all steel swimming pool. A great choice for those looking for a high quality long lasting pool with a few added features that does not break the bank. Montego is a step up and much more solid feeling than Caribbean. This is attributed to the fact that every component is wider, bigger, and heavier than the Caribbean model. Because of it's solid nature, Montego stands up well to large families and kids that like to roughhouse. This is a great heavy duty pool without the cost associated with resin upgrades. A best seller and a great value.</p>
<p><strong><span style=""font-family: helvetica;"">Montego Pool Assembly Specifications</span></strong></p>
<ul>
<li>Manufactured by Wilbar International - New York, USA</li>
<li>52"" high steel wall with Resin Shield coating for damage and corrosion resistance.</li>
<li>Strong 7"" wide steel top ledges and SynproTM resin top ledge covers.</li>
<li>Durable 5"" upright posts and resin foot collars for style and strength.</li>
<li>Beautiful Pearl wall color goes with practically any decor.</li>
<li>40-Year Manufacturer's limited warranty</li>
<li>Approximate space required for installation - 13' diameter</li>
<li>Approximate water capacity - 3,000 gallons</li>
</ul>
<p><strong><span style=""font-family: helvetica;"">Montego Deluxe Swimming Pool Package Includes:<br /></span></strong></p>
<ul>
<li>12'x52"" Wilbar Montego Pool Assembly</li>
<li>12'x52"" Swimline Liberty 25ga Unibead Pool Liner</li>
<li>Waterway 100 sq.ft. Cartridge Filter System</li>
<li>Waterway 1.0hp High Efficiency Pump - 120v</li>
<li>Widemouth Thru-Wall Skimmer And Return Fitting</li>
<li>Confer 7100X A-Frame Folding Locking Safety Ladder</li>
<li>Deluxe 8 Piece Pool Maintenance Kit</li>
<li>15,000 Gallon Start-Up Chemical Kit</li>
<li>12' Winter Pool Cover</li>
<li>Free Residential Liftgate Delivery</li>
</ul>
</div>
<p>&nbsp;<strong>Shipping And Delivery</strong> <strong>Of Above Ground Pools</strong><br /><br />Once ordered, above ground pools typically leave our warehouse same or next business day. Because of their size and weight, above ground pools are delivered by freight carrier and not UPS. The freight carrier will deliver your pool to the given delivery address within 5 and 7 business days. Prior to delivery, the freight carrier will call you to scheduled an appointment for the delivery of your new pool. An adult must be at the delivery address at the time of drop off to receive and sign for the shipment.<br /><br /><strong>Building Code Requirements</strong></p>
<p>It is good practice to check with your local building department for their requirements in regards to above ground pool installations. Permits, proper fencing, property easements, overhead and under ground utilities even septic systems may need to be addressed to ensure a safe legal location for your new pool. In addition, a call to the utility company is of great help, as they will mark out the underground utility lines ensuring cable or telephone lines are not cut during pool installation.</p>
<p><strong>Swimming Pool Safety</strong><br /><br />Your above ground pool has been designed to provide you with years of safe, family fun. This entails that water safety must always be taken into account. When used incorrectly, your above ground swimming pool can be dangerous; above ground pools are shallow, and this makes diving and jumping unsafe. To ensure your above ground pool is used safely you must observe the safety precautions that are provided to you when you purchase an above ground pool and conform to all local regulations.</p>",,,,Cartridge Filter,,,0,,/m/o/montego-pool-package_1.png,"12'x52"" Montego Round Pool Package",,Liberty 25ga.,,Unibead,,"12' Round Wilbar Montego above ground pool package. This 12'x52"" above ground swimming pool kit is designed for decades of backyard fun for the entire family. Kit included everything need to swim & maintain your new pool. Great DYI pool package. FREE SHIP","above ground pools, 12 round above ground pool, 12x52, wilbar above ground pools, round above ground pool kit, dyi pool kit, complete pool package, swimming pools","12'x52"" Montego Round Above Ground Pool Package",,,Use config,Use config,"12'x52"" Montego Round Pool Package",,,,Block after Info Column,,,Montego,12' Round,"52"" Wall",1900.0000,0,"<div id=""what-included"">
<p><strong>What's Included:</strong></p>
<ul>
<li><strong>Complete 12''x52"" Wilbar Montego Pool Assembly</strong></li>
<li><strong>Liberty 25ga. Heavy Duty Unibead Pool Liner </strong></li>
<li><strong>Pump - Filter - Ladder - Chemicals - Cover - Maintenance Kit</strong></li>
<li><strong>Installation Manual - Installation Video - Live Support<br /></strong></li>
<li><strong>FREE SHIPPING</strong></li>
<li><span style=""color: #ff6600;""><strong>See Complete Package Details Below</strong></span></li>
</ul>
</div>",M,,,/m/o/montego-pool-package_1.png,"12'x52"" Montego Round Pool Package",,,,1,2,/m/o/montego-pool-package_1.png,"12'x52"" Montego Round Pool Package",2015-06-27 19:30:54,12-x52-montego-round-pool-package,12-x52-montego-round-pool-package.html,4,40 Year,1.0000,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/o/montego-pool-package_1.png,"12'x52"" Montego Round Pool Package",1,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/2/0/2015_montego_spec_sheet-1_2.png,"12'x52"" Montego Spec Sheet",2,0,,,,,,,,,,,,
AG-PP-3300-R1552LTUWC10171ECW,,Swimming Pool Package,simple,Swimming Pools/Above Ground Pool Packages,swimming-pool,base,,,,United States,2015-06-25 23:33:12,,,,,"<div id=""tab-mon1"" class=""tab-box"" style=""opacity: 1; display: block;"">
<p><strong>Montego</strong> is our heavy duty all steel swimming pool. A great choice for those looking for a high quality long lasting pool with a few added features that does not break the bank. Montego is a step up and much more solid feeling than Caribbean. This is attributed to the fact that every component is wider, bigger, and heavier than the Caribbean model. Because of it's solid nature, Montego stands up well to large families and kids that like to roughhouse. This is a great heavy duty pool without the cost associated with resin upgrades. A best seller and a great value.</p>
<p><strong><span style=""font-family: helvetica;"">Montego Pool Assembly Specifications</span></strong></p>
<ul>
<li>Manufactured by Wilbar International - New York, USA</li>
<li>52"" high steel wall with Resin Shield coating for damage and corrosion resistance.</li>
<li>Strong 7"" wide steel top ledges and SynproTM resin top ledge covers.</li>
<li>Durable 5"" upright posts and resin foot collars for style and strength.</li>
<li>Beautiful Pearl wall color goes with practically any decor.</li>
<li>40-Year Manufacturer's limited warranty</li>
<li>Approximate space required for installation - 16' diameter</li>
<li>Approximate water capacity - 5,000 gallons</li>
</ul>
<p><strong><span style=""font-family: helvetica;"">Montego Deluxe Swimming Pool Package Includes:<br /></span></strong></p>
<ul>
<li>15'x52"" Wilbar Montego Pool Assembly</li>
<li>15'x52"" Swimline Liberty 25ga Unibead Pool Liner</li>
<li>Waterway 100 sq.ft. Cartridge Filter System</li>
<li>Waterway 1.0hp High Efficiency Pump - 120v</li>
<li>Widemouth Thru-Wall Skimmer And Return Fitting</li>
<li>Confer 7100X A-Frame Folding Locking Safety Ladder</li>
<li>Deluxe 8 Piece Pool Maintenance Kit</li>
<li>15,000 Gallon Start-Up Chemical Kit</li>
<li>15' Winter Pool Cover</li>
<li>Free Residential Liftgate Delivery</li>
</ul>
</div>
<p>&nbsp;<strong>Shipping And Delivery</strong> <strong>Of Above Ground Pools</strong><br /><br />Once ordered, above ground pools typically leave our warehouse same or next business day. Because of their size and weight, above ground pools are delivered by freight carrier and not UPS. The freight carrier will deliver your pool to the given delivery address within 5 and 7 business days. Prior to delivery, the freight carrier will call you to scheduled an appointment for the delivery of your new pool. An adult must be at the delivery address at the time of drop off to receive and sign for the shipment.<br /><br /><strong>Building Code Requirements</strong></p>
<p>It is good practice to check with your local building department for their requirements in regards to above ground pool installations. Permits, proper fencing, property easements, overhead and under ground utilities even septic systems may need to be addressed to ensure a safe legal location for your new pool. In addition, a call to the utility company is of great help, as they will mark out the underground utility lines ensuring cable or telephone lines are not cut during pool installation.</p>
<p><strong>Swimming Pool Safety</strong><br /><br />Your above ground pool has been designed to provide you with years of safe, family fun. This entails that water safety must always be taken into account. When used incorrectly, your above ground swimming pool can be dangerous; above ground pools are shallow, and this makes diving and jumping unsafe. To ensure your above ground pool is used safely you must observe the safety precautions that are provided to you when you purchase an above ground pool and conform to all local regulations.</p>",,,,Cartridge Filter,,,0,,/m/o/montego-pool-package_1_1.png,"15'x52"" Montego Round Pool Package",,Liberty 25ga.,,Unibead,,"15' Round Wilbar Montego above ground pool package. This 15'x52"" above ground swimming pool kit is designed for decades of backyard fun for the entire family. Kit included everything need to swim & maintain your new pool. Great DYI pool package. FREE SHIP","above ground pools, 15 round above ground pool, 15x52, wilbar above ground pools, round above ground pool kit, dyi pool kit, complete pool package, swimming pools","15'x52"" Montego Round Above Ground Pool Package",,,Use config,Use config,"15'x52"" Montego Round Pool Package",,,,Block after Info Column,,,Montego,15' Round,"52"" Wall",2000.0000,0,"<div id=""what-included"">
<p><strong>What's Included:</strong></p>
<ul>
<li><strong>Complete 15'x52"" Wilbar Montego Pool Assembly</strong></li>
<li><strong>Liberty 25ga. Heavy Duty Unibead Pool Liner </strong></li>
<li><strong>Pump - Filter - Ladder - Chemicals - Cover - Maintenance Kit</strong></li>
<li><strong>Installation Manual - Installation Video - Live Support<br /></strong></li>
<li><strong>FREE SHIPPING</strong></li>
<li><span style=""color: #ff6600;""><strong>See Complete Package Details Below</strong></span></li>
</ul>
</div>",,,,/m/o/montego-pool-package_1_1.png,"15'x52"" Montego Round Pool Package",,,,1,2,/m/o/montego-pool-package_1_1.png,"15'x52"" Montego Round Pool Package",2015-06-27 19:30:36,15-x52-montego-round-pool-package,15-x52-montego-round-pool-package.html,4,40 Year,1.0000,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/o/montego-pool-package_1_1.png,"15'x52"" Montego Round Pool Package",1,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/2/0/2015_montego_spec_sheet-1_2_1.png,"15'x52"" Montego Spec Sheet",2,0,,,,,,,,,,,,
AG-PP-3301-R1852LTUWC10171ECW,,Swimming Pool Package,simple,Swimming Pools/Above Ground Pool Packages,swimming-pool,base,,,,United States,2015-06-26 11:32:30,,,,,"<div id=""tab-mon1"" class=""tab-box"" style=""opacity: 1; display: block;"">
<p><strong>Montego</strong> is our heavy duty all steel swimming pool. A great choice for those looking for a high quality long lasting pool with a few added features that does not break the bank. Montego is a step up and much more solid feeling than Caribbean. This is attributed to the fact that every component is wider, bigger, and heavier than the Caribbean model. Because of it's solid nature, Montego stands up well to large families and kids that like to roughhouse. This is a great heavy duty pool without the cost associated with resin upgrades. A best seller and a great value.</p>
<p><strong><span style=""font-family: helvetica;"">Montego Pool Assembly Specifications</span></strong></p>
<ul>
<li>Manufactured by Wilbar International - New York, USA</li>
<li>52"" high steel wall with Resin Shield coating for damage and corrosion resistance.</li>
<li>Strong 7"" wide steel top ledges and SynproTM resin top ledge covers.</li>
<li>Durable 5"" upright posts and resin foot collars for style and strength.</li>
<li>Beautiful Pearl wall color goes with practically any decor.</li>
<li>40-Year Manufacturer's limited warranty</li>
<li>Approximate space required for installation - 19' diameter</li>
<li>Approximate water capacity - 7,500 gallons</li>
</ul>
<p><strong><span style=""font-family: helvetica;"">Montego Deluxe Swimming Pool Package Includes:<br /></span></strong></p>
<ul>
<li>18'x52"" Wilbar Montego Pool Assembly</li>
<li>18'x52"" Swimline Liberty 25ga Unibead Pool Liner</li>
<li>Waterway 100 sq.ft. Cartridge Filter System</li>
<li>Waterway 1.0hp High Efficiency Pump - 120v</li>
<li>Widemouth Thru-Wall Skimmer And Return Fitting</li>
<li>Confer 7100X A-Frame Folding Locking Safety Ladder</li>
<li>Deluxe 8 Piece Pool Maintenance Kit</li>
<li>15,000 Gallon Start-Up Chemical Kit</li>
<li>18' Winter Pool Cover</li>
<li>Free Residential Liftgate Delivery</li>
</ul>
</div>
<p>&nbsp;<strong>Shipping And Delivery</strong> <strong>Of Above Ground Pools</strong><br /><br />Once ordered, above ground pools typically leave our warehouse same or next business day. Because of their size and weight, above ground pools are delivered by freight carrier and not UPS. The freight carrier will deliver your pool to the given delivery address within 5 and 7 business days. Prior to delivery, the freight carrier will call you to scheduled an appointment for the delivery of your new pool. An adult must be at the delivery address at the time of drop off to receive and sign for the shipment.<br /><br /><strong>Building Code Requirements</strong></p>
<p>It is good practice to check with your local building department for their requirements in regards to above ground pool installations. Permits, proper fencing, property easements, overhead and under ground utilities even septic systems may need to be addressed to ensure a safe legal location for your new pool. In addition, a call to the utility company is of great help, as they will mark out the underground utility lines ensuring cable or telephone lines are not cut during pool installation.</p>
<p><strong>Swimming Pool Safety</strong><br /><br />Your above ground pool has been designed to provide you with years of safe, family fun. This entails that water safety must always be taken into account. When used incorrectly, your above ground swimming pool can be dangerous; above ground pools are shallow, and this makes diving and jumping unsafe. To ensure your above ground pool is used safely you must observe the safety precautions that are provided to you when you purchase an above ground pool and conform to all local regulations.</p>",,,,Cartridge Filter,,,0,,/m/o/montego-pool-package_1_1_1.png,"18'x52"" Montego Round Pool Package",,Liberty 25ga.,,Unibead,,"18' Round Wilbar Montego above ground pool package. This 18'x52"" above ground swimming pool kit is designed for decades of backyard fun for the entire family. Kit included everything need to swim & maintain your new pool. Great DYI pool package. FREE SHIP","above ground pools, 18 round above ground pool, 18x52,wilbar above ground pools, round above ground pool kit, dyi pool kit, complete pool package, swimming pools","18'x52"" Montego Round Above Ground Pool Package",,,Use config,Use config,"18'x52"" Montego Round Pool Package",,,,Block after Info Column,,,Montego,18' Round,"52"" Wall",2100.0000,0,"<div id=""what-included"">
<p><strong>What's Included:</strong></p>
<ul>
<li><strong>Complete 18'x52"" Wilbar Montego Pool Assembly</strong></li>
<li><strong>Liberty 25ga. Heavy Duty Unibead Pool Liner </strong></li>
<li><strong>Pump - Filter - Ladder - Chemicals - Cover - Maintenance Kit</strong></li>
<li><strong>Installation Manual - Installation Video - Live Support<br /></strong></li>
<li><strong>FREE SHIPPING</strong></li>
<li><span style=""color: #ff6600;""><strong>See Complete Package Details Below</strong></span></li>
</ul>
</div>",,,,/m/o/montego-pool-package_1_1_1.png,"18'x52"" Montego Round Pool Package",,,,1,2,/m/o/montego-pool-package_1_1_1.png,"18'x52"" Montego Round Pool Package",2015-06-27 19:30:20,18-x52-montego-round-pool-package,18-x52-montego-round-pool-package.html,4,40 Year,1.0000,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/o/montego-pool-package_1_1_1.png,"18'x52"" Montego Round Pool Package",1,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/2/0/2015_montego_spec_sheet-1_2_1_1.png,"18'x52"" Montego Spec Sheet",2,0,,,,,,,,,,,,
AG-PP-3302-R2152LTUWC10171ECW,,Swimming Pool Package,simple,Swimming Pools/Above Ground Pool Packages,swimming-pool,base,,,,United States,2015-06-26 12:21:10,,,,,"<div id=""tab-mon1"" class=""tab-box"" style=""opacity: 1; display: block;"">
<p><strong>Montego</strong> is our heavy duty all steel swimming pool. A great choice for those looking for a high quality long lasting pool with a few added features that does not break the bank. Montego is a step up and much more solid feeling than Caribbean. This is attributed to the fact that every component is wider, bigger, and heavier than the Caribbean model. Because of it's solid nature, Montego stands up well to large families and kids that like to roughhouse. This is a great heavy duty pool without the cost associated with resin upgrades. A best seller and a great value.</p>
<p><strong><span style=""font-family: helvetica;"">Montego Pool Assembly Specifications</span></strong></p>
<ul>
<li>Manufactured by Wilbar International - New York, USA</li>
<li>52"" high steel wall with Resin Shield coating for damage and corrosion resistance.</li>
<li>Strong 7"" wide steel top ledges and SynproTM resin top ledge covers.</li>
<li>Durable 5"" upright posts and resin foot collars for style and strength.</li>
<li>Beautiful Pearl wall color goes with practically any decor.</li>
<li>40-Year Manufacturer's limited warranty</li>
<li>Approximate space required for installation - 22' diameter</li>
<li>Approximate water capacity - 10,000 gallons</li>
</ul>
<p><strong><span style=""font-family: helvetica;"">Montego Deluxe Swimming Pool Package Includes:<br /></span></strong></p>
<ul>
<li>21'x52"" Wilbar Montego Pool Assembly</li>
<li>21'x52"" Swimline Liberty 25ga Unibead Pool Liner</li>
<li>Waterway 100 sq.ft. Cartridge Filter System</li>
<li>Waterway 1.0hp High Efficiency Pump - 120v</li>
<li>Widemouth Thru-Wall Skimmer And Return Fitting</li>
<li>Confer 7100X A-Frame Folding Locking Safety Ladder</li>
<li>Deluxe 8 Piece Pool Maintenance Kit</li>
<li>15,000 Gallon Start-Up Chemical Kit</li>
<li>21' Winter Pool Cover</li>
<li>Free Residential Liftgate Delivery</li>
</ul>
</div>
<p>&nbsp;<strong>Shipping And Delivery</strong> <strong>Of Above Ground Pools</strong><br /><br />Once ordered, above ground pools typically leave our warehouse same or next business day. Because of their size and weight, above ground pools are delivered by freight carrier and not UPS. The freight carrier will deliver your pool to the given delivery address within 5 and 7 business days. Prior to delivery, the freight carrier will call you to scheduled an appointment for the delivery of your new pool. An adult must be at the delivery address at the time of drop off to receive and sign for the shipment.<br /><br /><strong>Building Code Requirements</strong></p>
<p>It is good practice to check with your local building department for their requirements in regards to above ground pool installations. Permits, proper fencing, property easements, overhead and under ground utilities even septic systems may need to be addressed to ensure a safe legal location for your new pool. In addition, a call to the utility company is of great help, as they will mark out the underground utility lines ensuring cable or telephone lines are not cut during pool installation.</p>
<p><strong>Swimming Pool Safety</strong><br /><br />Your above ground pool has been designed to provide you with years of safe, family fun. This entails that water safety must always be taken into account. When used incorrectly, your above ground swimming pool can be dangerous; above ground pools are shallow, and this makes diving and jumping unsafe. To ensure your above ground pool is used safely you must observe the safety precautions that are provided to you when you purchase an above ground pool and conform to all local regulations.</p>",,,,Cartridge Filter,,,0,,/m/o/montego-pool-package_1_2.png,"21'x52"" Montego Round Pool Package",,Liberty 25ga.,,Unibead,,"21' Round Wilbar Montego above ground pool package. This 21'x52"" above ground swimming pool kit is designed for decades of backyard fun for the entire family. Kit included everything need to swim & maintain your new pool. Great DYI pool package. FREE SHIP","above ground pools, 21 round above ground pool, 21x52, wilbar above ground pools, round above ground pool kit, dyi pool kit, complete pool package, swimming pools","21'x52"" Montego Round Above Ground Pool Package",,,Use config,Use config,"21'x52"" Montego Round Pool Package",,,,Block after Info Column,,,Montego,21' Round,"52"" Wall",2300.0000,0,"<div id=""what-included"">
<p><strong>What's Included:</strong></p>
<ul>
<li><strong>Complete 21'x52"" Wilbar Montego Pool Assembly</strong></li>
<li><strong>Liberty 25ga. Heavy Duty Unibead Pool Liner </strong></li>
<li><strong>Pump - Filter - Ladder - Chemicals - Cover - Maintenance Kit</strong></li>
<li><strong>Installation Manual - Installation Video - Live Support<br /></strong></li>
<li><strong>FREE SHIPPING</strong></li>
<li><span style=""color: #ff6600;""><strong>See Complete Package Details Below</strong></span></li>
</ul>
</div>",,,,/m/o/montego-pool-package_1_2.png,"21'x52"" Montego Round Pool Package",,,,1,2,/m/o/montego-pool-package_1_2.png,"21'x52"" Montego Round Pool Package",2015-06-27 19:30:03,21-x52-montego-round-pool-package,21-x52-montego-round-pool-package.html,4,40 Year,1.0000,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/o/montego-pool-package_1_2.png,"21'x52"" Montego Round Pool Package",1,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/2/0/2015_montego_spec_sheet-1_2_2.png,"21'x52"" Montego Spec Sheet",2,0,,,,,,,,,,,,
AG-PP-3303-R2452LTUWC15271SCW,,Swimming Pool Package,simple,Swimming Pools/Above Ground Pool Packages,swimming-pool,base,,,,United States,2015-06-26 12:28:18,,,,,"<div id=""tab-mon1"" class=""tab-box"" style=""opacity: 1; display: block;"">
<p><strong>Montego</strong> is our heavy duty all steel swimming pool. A great choice for those looking for a high quality long lasting pool with a few added features that does not break the bank. Montego is a step up and much more solid feeling than Caribbean. This is attributed to the fact that every component is wider, bigger, and heavier than the Caribbean model. Because of it's solid nature, Montego stands up well to large families and kids that like to roughhouse. This is a great heavy duty pool without the cost associated with resin upgrades. A best seller and a great value.</p>
<p><strong><span style=""font-family: helvetica;"">Montego Pool Assembly Specifications</span></strong></p>
<ul>
<li>Manufactured by Wilbar International - New York, USA</li>
<li>52"" high steel wall with Resin Shield coating for damage and corrosion resistance.</li>
<li>Strong 7"" wide steel top ledges and SynproTM resin top ledge covers.</li>
<li>Durable 5"" upright posts and resin foot collars for style and strength.</li>
<li>Beautiful Pearl wall color goes with practically any decor.</li>
<li>40-Year Manufacturer's limited warranty</li>
<li>Approximate space required for installation - 25' diameter</li>
<li>Approximate water capacity - 13,500 gallons</li>
</ul>
<p><strong><span style=""font-family: helvetica;"">Montego Deluxe Swimming Pool Package Includes:<br /></span></strong></p>
<ul>
<li>24'x52"" Wilbar Montego Pool Assembly</li>
<li>24'x52"" Swimline Liberty 25ga Unibead Pool Liner</li>
<li>Waterway 150 sq.ft. Cartridge Filter System</li>
<li>Waterway 1.5hp 2 Speed High Efficiency Pump - 120v</li>
<li>Widemouth Thru-Wall Skimmer And Return Fitting</li>
<li>Confer 7100X A-Frame Folding Locking Safety Ladder</li>
<li>Deluxe 8 Piece Pool Maintenance Kit</li>
<li>15,000 Gallon Start-Up Chemical Kit</li>
<li>24' Winter Pool Cover</li>
<li>Free Residential Liftgate Delivery</li>
</ul>
</div>
<p>&nbsp;<strong>Shipping And Delivery</strong> <strong>Of Above Ground Pools</strong><br /><br />Once ordered, above ground pools typically leave our warehouse same or next business day. Because of their size and weight, above ground pools are delivered by freight carrier and not UPS. The freight carrier will deliver your pool to the given delivery address within 5 and 7 business days. Prior to delivery, the freight carrier will call you to scheduled an appointment for the delivery of your new pool. An adult must be at the delivery address at the time of drop off to receive and sign for the shipment.<br /><br /><strong>Building Code Requirements</strong></p>
<p>It is good practice to check with your local building department for their requirements in regards to above ground pool installations. Permits, proper fencing, property easements, overhead and under ground utilities even septic systems may need to be addressed to ensure a safe legal location for your new pool. In addition, a call to the utility company is of great help, as they will mark out the underground utility lines ensuring cable or telephone lines are not cut during pool installation.</p>
<p><strong>Swimming Pool Safety</strong><br /><br />Your above ground pool has been designed to provide you with years of safe, family fun. This entails that water safety must always be taken into account. When used incorrectly, your above ground swimming pool can be dangerous; above ground pools are shallow, and this makes diving and jumping unsafe. To ensure your above ground pool is used safely you must observe the safety precautions that are provided to you when you purchase an above ground pool and conform to all local regulations.</p>",,,,Cartridge Filter,,,0,,/m/o/montego-pool-package_1_2_1.png,"24'x52"" Montego Round Pool Package",,Liberty 25ga.,,Unibead,,"24' Round Wilbar Montego above ground pool package. This 24'x52"" above ground swimming pool kit is designed for decades of backyard fun for the entire family. Kit included everything need to swim & maintain your new pool. Great DYI pool package. FREE SHIP","above ground pools, 24 round above ground pool, 24x52, wilbar above ground pools, round above ground pool kit, dyi pool kit, complete pool package, swimming pools","24'x52"" Montego Round Above Ground Pool Package",,,Use config,Use config,"24'x52"" Montego Round Pool Package",,,,Block after Info Column,,,Montego,24' Round,"52"" Wall",2400.0000,0,"<div id=""what-included"">
<p><strong>What's Included:</strong></p>
<ul>
<li><strong>Complete 24'x52"" Wilbar Montego Pool Assembly</strong></li>
<li><strong>Liberty 25ga. Heavy Duty Unibead Pool Liner </strong></li>
<li><strong>Pump - Filter - Ladder - Chemicals - Cover - Maintenance Kit</strong></li>
<li><strong>Installation Manual - Installation Video - Live Support<br /></strong></li>
<li><strong>FREE SHIPPING</strong></li>
<li><span style=""color: #ff6600;""><strong>See Complete Package Details Below</strong></span></li>
</ul>
</div>",,,,/m/o/montego-pool-package_1_2_1.png,"24'x52"" Montego Round Pool Package",,,,1,2,/m/o/montego-pool-package_1_2_1.png,"24'x52"" Montego Round Pool Package",2015-06-27 19:29:44,24-x52-montego-round-pool-package,24-x52-montego-round-pool-package.html,4,40 Year,1.0000,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,,1,0,0,1,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,88,/m/o/montego-pool-package_1_2_1.png,"24'x52"" Montego Round Pool Package",1,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/2/0/2015_montego_spec_sheet-1_2_2_1.png,"24'x52"" Montego Spec Sheet",2,0,,,,,,,,,,,,
